Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
134,India,Yogesh Takawale,Royal Challengers Bangalore,10.0,10,2014,Royal Challengers Bengaluru
135,India,Aditya Tare,Mumbai Indians,20.0,160,2014,Mumbai Indians
136,India,Iqbal Abdullah,Rajasthan Royals,30.0,65,2014,Rajasthan Royals
137,India,Rajat Bhatia,Rajasthan Royals,30.0,170,2014,Rajasthan Royals
138,Trinidad and Tobago,Kevon Cooper,Rajasthan Royals,30.0,30,2014,Rajasthan Royals
139,India,Rishi Dhawan,Punjab Kings,20.0,300,2014,Punjab Kings
140,India,Mithun Manhas,Chennai Super Kings,30.0,30,2014,Chennai Super Kings
141,India,Parvez Rasool,Sunrisers Hyderabad,20.0,95,2014,Sunrisers Hyderabad
142,India,Mandeep Singh,Punjab Kings,30.0,80,2014,Punjab Kings
143,Netherlands,Ryan Ten Doeschate,Kolkata Knight Riders,100.0,100,2014,Kolkata Knight Riders
144,India,Abu Nechim Ahmed,Royal Challengers Bangalore,30.0,30,2014,Royal Challengers Bengaluru
145,India,Jasprit Bumrah,Mumbai Indians,20.0,120,2014,Mumbai Indians
146,India,Siddarth Kaul,Delhi Capitals,20.0,45,2014,Delhi Capitals
147,India,Dhawal Kulkarni,Rajasthan Royals,30.0,110,2014,Rajasthan Royals
148,India,Ishwar Pandey,Chennai Super Kings,10.0,150,2014,Chennai Super Kings
149,India,Prasanth Parameswaran,Sunrisers Hyderabad,30.0,30,2014,Sunrisers Hyderabad
150,India,Sandeep Sharma,Punjab Kings,30.0,85,2014,Punjab Kings
151,India,Rahul Shukla,Delhi Capitals,20.0,40,2014,Delhi Capitals
152,India,Anureet Singh,Punjab Kings,20.0,20,2014,Punjab Kings
153,India,Shreyas Gopal,Mumbai Indians,10.0,10,2014,Mumbai Indians
154,India,Shadab Jakati,Royal Challengers Bangalore,20.0,20,2014,Royal Challengers Bengaluru
155,India,Shahbaz Nadeem,Delhi Capitals,30.0,85,2014,Delhi Capitals
156,India,Pawan Negi,Chennai Super Kings,10.0,10,2014,Chennai Super Kings
157,India,Karn Sharma,Sunrisers Hyderabad,30.0,375,2014,Sunrisers Hyderabad
158,India,Yuzvendra Chahal,Royal Challengers Bangalore,10.0,10,2014,Royal Challengers Bengaluru
159,India,Kuldeep Yadav,Kolkata Knight Riders,10.0,40,2014,Kolkata Knight Riders
160,India,Pravin Tambe,Rajasthan Royals,10.0,10,2014,Rajasthan Royals
161,India,Karun Nair,Rajasthan Royals,10.0,75,2014,Rajasthan Royals
162,India,Apoorv Vijay Wankhade,Mumbai Indians,10.0,10,2014,Mumbai Indians
163,India,Amit Paunikar,Sunrisers Hyderabad,20.0,20,2014,Sunrisers Hyderabad
164,India,Dishant Yagnik,Rajasthan Royals,30.0,30,2014,Rajasthan Royals
165,India,Akshar Patel,Punjab Kings,20.0,75,2014,Punjab Kings
166,India,Jalaj Saxena,Mumbai Indians,20.0,90,2014,Mumbai Indians
167,India,Vijay Shankar,Chennai Super Kings,10.0,10,2014,Chennai Super Kings
168,South Africa,Beuran Hendricks,Punjab Kings,30.0,180,2014,Punjab Kings
169,India,Vikramjeet Malik,Rajasthan Royals,20.0,20,2014,Rajasthan Royals
170,India,Ronit More,Chennai Super Kings,10.0,10,2014,Chennai Super Kings
171,India,Harshal Patel,Royal Challengers Bangalore,30.0,40,2014,Royal Challengers Bengaluru
172,India,Veer Pratap Singh,Kolkata Knight Riders,20.0,40,2014,Kolkata Knight Riders
173,India,Ashish Reddy,Sunrisers Hyderabad,20.0,20,2014,Sunrisers Hyderabad
174,India,Pawan Suyal,Mumbai Indians,10.0,10,2014,Mumbai Indians
175,India,Sandeep Warrier,Royal Challengers Bangalore,10.0,10,2014,Royal Challengers Bengaluru
176,India,Ankit Nagendra Sharma,Rajasthan Royals,10.0,10,2014,Rajasthan Royals
177,India,Ricky Bhui,Sunrisers Hyderabad,10.0,10,2014,Sunrisers Hyderabad
178,India,Rahul Tewatia,Rajasthan Royals,10.0,10,2014,Rajasthan Royals
179,India,Jayant Yadav,Delhi Capitals,10.0,10,2014,Delhi Capitals
180,India,Amit Mishra,Rajasthan Royals,10.0,10,2014,Rajasthan Royals
181,India,Sachin Rana,Royal Challengers Bangalore,20.0,20,2014,Royal Challengers Bengaluru
182,India,HS Sharath,Delhi Capitals,10.0,10,2014,Delhi Capitals
183,India,Shivam Sharma,Punjab Kings,10.0,10,2014,Punjab Kings
184,India,Deepak Hooda,Rajasthan Royals,10.0,40,2014,Rajasthan Royals
185,India,Chama Milind,Sunrisers Hyderabad,10.0,10,2014,Sunrisers Hyderabad
186,India,Shardul Thakur,Punjab Kings,10.0,20,2014,Punjab Kings
187,India,Tanmay Mishra,Royal Challengers Bangalore,10.0,10,2014,Royal Challengers Bengaluru
188,India,Sayan Sekhar Mondal,Kolkata Knight Riders,10.0,10,2014,Kolkata Knight Riders
189,India,Karanveer Singh,Punjab Kings,10.0,10,2014,Punjab Kings
190,India,Milind Kumar,Delhi Capitals,10.0,10,2014,Delhi Capitals
191,Australia,Michael Hussey,Chennai Super Kings,150.0,150,2015,Chennai Super Kings
192,India,Irfan Pathan,Chennai Super Kings,150.0,150,2015,Chennai Super Kings
193,India,Rahul Sharma,Chennai Super Kings,30.0,30,2015,Chennai Super Kings
194,South Africa,Kyle Abbott,Chennai Super Kings,30.0,30,2015,Chennai Super Kings
195,Australia,Andrew Tye,Chennai Super Kings,20.0,20,2015,Chennai Super Kings
196,India,Pratyush Singh,Chennai Super Kings,10.0,10,2015,Chennai Super Kings
197,India,Ankush Bains,Chennai Super Kings,10.0,10,2015,Chennai Super Kings
198,India,Eklavya Dwivedi,Chennai Super Kings,10.0,10,2015,Chennai Super Kings
199,India,Yuvraj Singh,Delhi Capitals,200.0,1600,2015,Delhi Capitals
200,Sri Lanka,Angelo Mathews,Delhi Capitals,150.0,750,2015,Delhi Capitals
201,India,Zaheer Khan,Delhi Capitals,100.0,400,2015,Delhi Capitals
202,India,Amit Mishra,Delhi Capitals,10.0,350,2015,Delhi Capitals
203,India,Shreyas Iyer,Delhi Capitals,10.0,260,2015,Delhi Capitals
204,Australia,Gurinder Sandhu,Delhi Capitals,30.0,170,2015,Delhi Capitals
205,India,Jaydev Unadkat,Delhi Capitals,50.0,110,2015,Delhi Capitals
206,India,Domnic Joseph,Delhi Capitals,10.0,75,2015,Delhi Capitals
207,South Africa,Albie Morkel,Delhi Capitals,30.0,30,2015,Delhi Capitals
208,Australia,Marcus Stoinis,Delhi Capitals,20.0,25,2015,Delhi Capitals
209,India,CM Gautam,Delhi Capitals,20.0,20,2015,Delhi Capitals
210,India,Srikar Bharat,Delhi Capitals,10.0,10,2015,Delhi Capitals
211,India,KK Jiyas,Delhi Capitals,10.0,10,2015,Delhi Capitals
212,India,Murali Vijay,Punjab Kings,50.0,300,2015,Punjab Kings
213,India,Nikhil Naik,Punjab Kings,10.0,30,2015,Punjab Kings
214,India,Yogesh Golwalkar,Punjab Kings,10.0,10,2015,Punjab Kings
215,India,KC Cariappa,Kolkata Knight Riders,10.0,240,2015,Kolkata Knight Riders
216,New Zealand,James Neesham,Kolkata Knight Riders,30.0,50,2015,Kolkata Knight Riders
